id,name,clientId,alternativeClientId,deviceTypeId
01x6jaxyr0l,kerkerh13,5EQHZV2GHIW0EL8ZT4HEOKV,DNSP9L3UVF0XIWV9PZND1M7,zf2fzgxmouh
4x65j9awxfn,kerkerh1,XRNPLS24F3UOYNEBXM0L8KF,9YJPWQ1YOZV8JDTHV1T1UY1,zf2fzgxmouh
1zg3se2fuzw,split_4_monitor,4NIIOEKRXKZHUSZN6GKV4JR,7KE5WC7NXJEU8E6OSL3SWUE,zuzcfyas8fa
mpunk9b9jnm,split_1_monitor,575YC8JYVSN1LFWW1ZPJJIQ,HJFHEBYZN650BJGS6A2J41Z,zuzcfyas8fa
x3lf6zf4pcg,occupancySensor_4,NAQ04OU9JEORWKHBF6P090I,3MIGYSEQQ4MNC0Y6Y29I6WY,c7dj94y7hf1
x53wuwrl4ya,occupancySensor_1,TOGHBJEQZTKQ6MCG7Q1ZYPS,FIJ4ONUHTEZG7HC858JZ1D0,c7dj94y7hf1
fdsljevb3bl,A-C_feedback_5,AP333UO2XNJM1IZC7HO2E6B,3Z9EK3WDZ15XV95W20KEXV2,iw0bp1a8fvv
iptsrw25kgb,A-C_feedback_4,47OJCE9MGN0NRNKLLTQW37W,RNGILYZQ65VRE0JNW5Q7NU0,iw0bp1a8fvv
sb82dt04z1w,A-C-feedback-1,2LU1D5SGA1FI3U2LT68NK86,M8IJ5W21M9DDB49VA7JK7WW,iw0bp1a8fvv
h15lnysw6sl,kerkerhvazeat7,RX1VFUQAI2NM5R72G30IS9E,VBE9EYV24RX0GDDJ1X5F52P,ulf2obizksn
kq5y3csc6h9,kerkerhvazeat8,K08X5EKOJGSDMKGJP0KNRRO,3D5WUAS1QPMU5VM625TGHPN,ulf2obizksn
m3i8v49rsdb,kerkerhvazeat12,1N32GZTIMKZ2080EQX6QW1T,BDBX6NZWQLXADOEYNXCB1FV,ulf2obizksn
r12agio38s8,kerkerhvazeat2,AXA6O8GDIRQKK8IV8W3EFE5,LC2J9WX99SBO9CSQHMDRYZ4,ulf2obizksn
85faw4bki9x,kerkerh2,U0DQOVP93SI7P4KW7DVG8EL,KYBPLX3K91QX7WY9S0DO7EU,zf2fzgxmouh
geu4qh8edfr,kerkerh5,JFYNSGVF8SH2A3EQG9UO64U,FLFI0LP7FLD28BPQ86ZQTGA,zf2fzgxmouh
hz5lnh2q7uo,kerkerh10,98KZRN59T7NCRPJH1U5TL94,S8BQY9O646KW2RIQS7A2585,zf2fzgxmouh
ilvo86mz3a2,kerkerh7,M982XGOTNP4B2K7OSP2O2R4,SP88ELCVPVX94I4UXX0QOBK,zf2fzgxmouh
o5kbupai5l4,kerkerh12,IZMPDB4ETLI3A31AZ1I3ESV,TCWQXZJT0UP2YBFNNT6XP41,zf2fzgxmouh
rq1ro1s6s75,kerkerhvazeat3,M8WKVM29R7M75OEC3EDVA1V,5JLQZRVSGLOLTM6YWNW48YS,ulf2obizksn
u9xonuz3338,kerkerhvazeat5,R072JWL0ANLRHQGV7UC17WO,103LNREP3RJT029OVX768AD,ulf2obizksn
